"cell_1","cell_2"
"2018","1135"
"2017","1343"
"2016","1553"
"2015","1103"
"2013","1003"
"2014","1028"
"2012","920"
"2011","264"
"2010","290"
"2009","353"
"2008","289"
"2007","318"
"2006","372"
"2005","288"
"2004","210"
"2001","237"
"2002","218"
"2000","163"
"2003","371"
"1999","0"
"1998","1"
